split,scenario_family,capture_count
test,failed_connection_burst,1
test,icmp_burst,1
test,normal_admin_mixed,1
test,normal_bulk_tcp,1
test,normal_dns,1
test,normal_dns_burst,1
test,normal_http,4
test,normal_http_short,6
test,normal_https_download,1
test,normal_https_short,3
test,normal_icmp,2
test,normal_scp,1
test,normal_ssh_short,1
test,normal_wget,1
test,normal_wget_burst,1
test,scan_connect,1
test,scan_connect_large,1
test,scan_syn,1
test,scan_syn_large,1
test,scan_syn_slow,1
test,scan_udp,1
test,scan_udp_large,1
test,ssh_bruteforce_light,1
test,syn_burst,1
test,syn_burst_multiport,1
test,web_probe_https,1
train,failed_connection_burst,7
train,icmp_burst,1
train,normal_admin_mixed,1
train,normal_bulk_tcp,6
train,normal_dns,6
train,normal_dns_burst,7
train,normal_http,12
train,normal_http_short,28
train,normal_https_download,2
train,normal_https_short,10
train,normal_icmp,6
train,normal_scp,1
train,normal_ssh_short,7
train,normal_wget,6
train,normal_wget_burst,7
train,scan_connect,1
train,scan_connect_large,3
train,scan_syn,1
train,scan_syn_large,6
train,scan_syn_slow,7
train,scan_udp,1
train,scan_udp_large,6
train,ssh_bruteforce_light,1
train,syn_burst,1
train,syn_burst_multiport,2
train,web_probe_https,1
validation,failed_connection_burst,2
validation,normal_admin_mixed,1
validation,normal_bulk_tcp,1
validation,normal_dns,1
validation,normal_dns_burst,2
validation,normal_http,2
validation,normal_http_short,6
validation,normal_https_download,1
validation,normal_https_short,2
validation,normal_icmp,1
validation,normal_scp,1
validation,normal_ssh_short,2
validation,normal_wget,1
validation,normal_wget_burst,2
validation,scan_connect,1
validation,scan_connect_large,1
validation,scan_syn,1
validation,scan_syn_large,1
validation,scan_syn_slow,2
validation,scan_udp_large,1
validation,ssh_bruteforce_light,1
validation,syn_burst,1
validation,syn_burst_multiport,1
validation,web_probe_https,1
