label_binary,scenario_family,flow_count,pct_within_label
normal,normal_http_short,3360,42.86
normal,normal_https_short,1400,17.86
normal,normal_dns_burst,1260,16.07
normal,normal_ssh_short,840,10.72
normal,normal_wget_burst,700,8.93
normal,normal_https_download,160,2.04
normal,normal_admin_mixed,50,0.64
normal,normal_scp,20,0.26
normal,normal_bulk_tcp,14,0.18
normal,normal_http,12,0.15
normal,normal_dns,10,0.13
normal,normal_icmp,7,0.09
normal,normal_wget,6,0.08
suspect,scan_syn_large,2009,25.63
suspect,scan_connect_large,1424,18.17
suspect,scan_udp_large,1423,18.15
suspect,scan_syn_slow,1066,13.6
suspect,failed_connection_burst,1057,13.48
suspect,syn_burst_multiport,341,4.35
suspect,scan_connect,242,3.09
suspect,scan_syn,123,1.57
suspect,web_probe_https,60,0.77
suspect,ssh_bruteforce_light,58,0.74
suspect,syn_burst,20,0.26
suspect,scan_udp,15,0.19
suspect,icmp_burst,1,0.01
