label_binary,scenario_family,flow_count,pct_total,pct_within_label
normal,normal_http_short,12013,22.11,49.49
normal,normal_dns_burst,4991,9.19,20.56
normal,normal_https_short,4497,8.28,18.53
normal,normal_ssh_short,1506,2.77,6.2
normal,normal_wget_burst,1200,2.21,4.94
normal,normal_bulk_tcp,18,0.03,0.07
normal,normal_http,18,0.03,0.07
normal,normal_dns,12,0.02,0.05
normal,normal_icmp,10,0.02,0.04
normal,normal_wget,8,0.01,0.03
suspect,scan_connect_large,9982,18.37,33.2
suspect,scan_syn_large,8009,14.74,26.64
suspect,scan_udp_large,4795,8.82,15.95
suspect,syn_burst_multiport,2018,3.71,6.71
suspect,scan_syn_slow,2014,3.71,6.7
suspect,failed_connection_burst,2000,3.68,6.65
suspect,scan_connect,766,1.41,2.55
suspect,scan_syn,384,0.71,1.28
suspect,syn_burst,60,0.11,0.2
suspect,scan_udp,32,0.06,0.11
suspect,icmp_burst,2,0.0,0.01
