label_binary,scenario_id,scenario_family,capture_count,flow_count,packet_count,avg_flows_per_capture,pct_captures_within_label
normal,N20,normal_http_short,20,6012,65213,300.6,14.71
normal,N21,normal_http_short,20,6001,60006,300.05,14.71
normal,N22,normal_dns_burst,10,4991,10059,499.1,7.35
normal,N30,normal_https_short,15,4497,68482,299.8,11.03
normal,N23,normal_ssh_short,10,1506,56230,150.6,7.35
normal,N24,normal_wget_burst,10,1200,12000,120.0,7.35
normal,N07,normal_bulk_tcp,8,18,41205,2.25,5.88
normal,N06,normal_dns,8,12,27,1.5,5.88
normal,N01,normal_icmp,9,10,92,1.11,6.62
normal,N02,normal_http,9,9,98,1.0,6.62
normal,N03,normal_http,9,9,105,1.0,6.62
normal,N11,normal_wget,8,8,91,1.0,5.88
suspect,S21,scan_connect_large,5,9982,10167,1996.4,7.81
suspect,S20,scan_syn_large,8,8009,16116,1001.12,12.5
suspect,S22,scan_udp_large,8,4795,4972,599.38,12.5
suspect,S23,syn_burst_multiport,10,2018,2135,201.8,15.62
suspect,S25,scan_syn_slow,10,2014,4129,201.4,15.62
suspect,S24,failed_connection_burst,10,2000,4000,200.0,15.62
suspect,S02,scan_connect,3,766,841,255.33,4.69
suspect,S01,scan_syn,3,384,789,128.0,4.69
suspect,S05,syn_burst,3,60,180,20.0,4.69
suspect,S03,scan_udp,2,32,72,16.0,3.12
suspect,S06,icmp_burst,2,2,160,1.0,3.12
