label_binary,scenario_id,scenario_family,flow_count,pct_total,pct_within_label
normal,N20,normal_http_short,6012,11.06,24.77
normal,N21,normal_http_short,6001,11.04,24.72
normal,N22,normal_dns_burst,4991,9.19,20.56
normal,N30,normal_https_short,4497,8.28,18.53
normal,N23,normal_ssh_short,1506,2.77,6.2
normal,N24,normal_wget_burst,1200,2.21,4.94
normal,N07,normal_bulk_tcp,18,0.03,0.07
normal,N06,normal_dns,12,0.02,0.05
normal,N01,normal_icmp,10,0.02,0.04
normal,N02,normal_http,9,0.02,0.04
normal,N03,normal_http,9,0.02,0.04
normal,N11,normal_wget,8,0.01,0.03
suspect,S21,scan_connect_large,9982,18.37,33.2
suspect,S20,scan_syn_large,8009,14.74,26.64
suspect,S22,scan_udp_large,4795,8.82,15.95
suspect,S23,syn_burst_multiport,2018,3.71,6.71
suspect,S25,scan_syn_slow,2014,3.71,6.7
suspect,S24,failed_connection_burst,2000,3.68,6.65
suspect,S02,scan_connect,766,1.41,2.55
suspect,S01,scan_syn,384,0.71,1.28
suspect,S05,syn_burst,60,0.11,0.2
suspect,S03,scan_udp,32,0.06,0.11
suspect,S06,icmp_burst,2,0.0,0.01
